date,region,coal_mwh,hydro_mwh,wind_mwh,solar_mwh,nuclear_mwh,gas_mwh,others_mwh,was_filled,total_generation,ci_gco2e_per_kwh
2023-07-12,NER,13780.0,34680.0,0.0,610.0,0.0,25350.0,-0.0,False,74420.0,333.5125369524322
2023-07-13,NER,16110.0,36270.0,0.0,800.0,0.0,25290.0,-0.0,False,78470.0,344.7287880718746
2023-07-14,NER,13850.0,33270.0,0.0,930.0,0.0,24770.0,-0.0,False,72820.0,338.16954133479817
2023-07-15,NER,14170.0,32590.000000000004,0.0,1090.0,0.0,27090.0,-0.0,False,74940.0,346.7434480918067
2023-07-16,NER,12930.0,31610.0,0.0,700.0,0.0,28570.0,10.0,False,73820.0,344.9666350582498
2023-07-17,NER,14580.0,36980.0,0.0,670.0,0.0,28410.0,0.0,False,80640.0,334.5649925595238
2023-07-18,NER,13570.0,37060.0,0.0,1370.0,0.0,27770.0,-0.0,False,79770.0,322.3148802808073
2023-07-19,NER,13240.0,33670.0,0.0,1360.0,0.0,28370.0,-0.0,False,76640.0,334.8464900835073
2023-07-20,NER,15770.0,31860.0,0.0,1080.0,0.0,28650.0,0.0,False,77360.0,365.06078076525336
2023-07-21,NER,17340.0,31300.0,0.0,930.0,0.0,28810.0,-0.0,False,78380.0,380.6450242408778
2023-07-22,NER,14400.0,29360.0,0.0,1110.0,0.0,28480.0,-0.0,False,73350.0,365.86972051806407
2023-07-23,NER,13630.0,31420.0,0.0,970.0,0.0,28920.0,-0.0,False,74940.0,350.80529757139044
2023-07-24,NER,12730.0,30730.0,0.0,910.0,0.0,28750.0,0.0,False,73120.0,346.5572757111597
2023-07-25,NER,14720.0,30090.0,0.0,970.0,0.0,28740.0,-0.0,False,74520.0,365.8649221685454
2023-07-26,NER,12940.0,32200.000000000004,0.0,900.0,0.0,28670.0,-0.0,False,74710.0,341.4214295275063
2023-07-27,NER,11910.0,31550.0,0.0,970.0,0.0,28740.0,0.0,False,73170.0,335.3981549815498
2023-07-28,NER,11540.0,34560.0,0.0,800.0,0.0,26240.0,0.0,False,73140.0,315.17317473338795
2023-07-29,NER,10490.0,36010.0,0.0,850.0,0.0,29210.0,0.0,False,76560.0,305.3492946708464
2023-07-30,NER,13390.0,34080.0,0.0,1170.0,0.0,29330.0,20.0,False,77990.0,336.8090011539941
2023-07-31,NER,12900.0,34430.0,0.0,1190.0,0.0,29130.0,0.0,False,77650.0,330.67468126207336
2023-08-01,NER,12740.0,31800.0,0.0,1260.0,0.0,28620.0,-0.0,False,74420.0,339.8435904326793
2023-08-02,NER,12580.0,30460.0,0.0,1010.0,0.0,27550.0,-0.0,False,71600.0,344.30367318435754
2023-08-03,NER,12710.0,33400.0,0.0,810.0,0.0,28800.0,-2.0,False,75718.0,334.67535328455585
2023-08-04,NER,14290.0,33300.0,0.0,850.0,0.0,28710.0,0.0,False,77150.0,347.8155800388853
2023-08-05,NER,14500.0,32890.0,0.0,810.0,0.0,28760.0,-0.0,False,76960.0,351.6125
2023-08-06,NER,11490.0,33680.0,0.0,640.0,0.0,28390.0,0.0,False,74200.0,323.1233962264151
2023-08-07,NER,12640.0,33010.0,0.0,810.0,0.0,28540.0,0.0,False,75000.0,335.44088
2023-08-08,NER,15990.0,35950.0,0.0,920.0,0.0,29050.0,-0.0,False,81910.0,349.5937492369674
2023-08-09,NER,16630.0,34670.0,0.0,980.0,0.0,29260.0,0.0,False,81540.0,359.95132450331124
2023-08-10,NER,17580.0,34820.0,0.0,760.0,0.0,29000.0,-0.0,False,82160.0,367.00922590068154
2023-08-11,NER,17180.0,35460.0,0.0,900.0,0.0,29910.0,0.0,False,83450.0,361.62289994008387
2023-08-12,NER,15485.0,31860.0,0.0,590.0,0.0,29740.0,-0.0,False,77675.0,366.371618925008
2023-08-13,NER,14400.0,35870.0,0.0,730.0,0.0,29550.0,-0.0,False,80550.0,339.17448789571694
2023-08-14,NER,16940.0,37060.0,0.0,1010.0,0.0,29440.0,0.0,False,84450.0,352.0694612196566
2023-08-15,NER,17070.0,33970.0,0.0,970.0,0.0,29870.0,0.0,False,81880.0,367.0339276990718
2023-08-16,NER,16440.0,34240.0,0.0,850.0,0.0,30040.0,-0.0,False,81570.0,361.8866740223121
2023-08-17,NER,17000.0,33080.0,0.0,1280.0,0.0,27950.0,0.0,False,79310.0,367.1224940108435
2023-08-18,NER,17380.0,33160.0,0.0,1020.0,0.0,27610.0,0.0,False,79170.0,370.4807502841985
2023-08-19,NER,16000.0,32259.999999999996,0.0,700.0,0.0,28290.0,0.0,False,77250.0,366.3581488673139
2023-08-20,NER,16750.0,32569.000000000004,0.0,960.0,0.0,27990.0,0.0,False,78269.0,369.1410647893802
2023-08-21,NER,16880.0,33540.0,0.0,630.0,0.0,29030.0,0.0,False,80080.0,368.2402222777223
2023-08-22,NER,17250.0,36070.0,0.0,290.0,0.0,26760.0,0.0,False,80370.0,358.59802164986934
2023-08-23,NER,14520.0,39470.0,0.0,790.0,0.0,26820.0,-0.0,False,81600.0,321.1031617647059
2023-08-24,NER,13320.0,38860.0,0.0,610.0,0.0,27770.0,0.0,False,80560.0,316.14676017874876
2023-08-25,NER,15690.0,38000.0,0.0,840.0,0.0,28500.0,0.0,False,83030.0,338.38045284836807
2023-08-26,NER,16120.000000000002,37250.0,0.0,460.0,0.0,28630.0,-0.0,False,82460.0,346.48606597138007
2023-08-27,NER,13520.0,40720.0,0.0,530.0,0.0,27860.0,0.0,False,82630.0,311.0651095243858
2023-08-28,NER,10120.0,40200.0,0.0,710.0,0.0,29090.0,-0.0,False,80120.0,286.62879430853724
2023-08-29,NER,11790.0,42080.0,0.0,1110.0,0.0,29440.0,-0.0,False,84420.0,293.0751125325752
2023-08-30,NER,14930.0,39880.0,0.0,1510.0,0.0,28120.0,-0.0,False,84440.0,321.9722761724301
2023-08-31,NER,17140.0,38740.0,0.0,1260.0,0.0,28400.0,0.0,False,85540.0,344.3499415478139
2023-09-01,NER,16850.0,40020.0,0.0,960.0,0.0,28010.0,0.0,False,85840.0,337.8175442684063
2023-09-02,NER,11910.0,38657.0,0.0,1060.0,0.0,29080.0,0.0,False,80707.0,305.9816992330281
2023-09-03,NER,12740.0,37000.0,0.0,1310.0,0.0,27630.0,320.0,False,79000.0,319.6430253164557
2023-09-04,NER,14540.0,34470.0,0.0,1290.0,0.0,28670.0,0.0,False,78970.0,342.6384069899962
2023-09-05,NER,17160.0,34220.0,0.0,1290.0,0.0,28550.0,2.0,False,81222.0,363.7619561202629
2023-09-06,NER,14290.0,33620.0,0.0,1140.0,0.0,28310.0,0.0,False,77360.0,344.53273009307134
2023-09-07,NER,14130.0,32910.0,0.0,1110.0,0.0,28230.0,-0.0,False,76380.0,346.4494893951296
2023-09-08,NER,13780.0,33070.0,0.0,920.0,0.0,28450.0,-0.0,False,76220.0,344.03218315402785
2023-09-09,NER,13170.0,35140.0,0.0,1020.0,0.0,26850.0,0.0,False,76180.0,326.9532948280388
2023-09-10,NER,12220.0,31980.0,0.0,980.0,0.0,28100.0,0.0,False,73280.0,335.04410480349344
2023-09-11,NER,13630.0,31170.0,0.0,1010.0,0.0,28030.0,-0.0,False,73840.0,350.57965872156007
2023-09-12,NER,14950.0,30910.0,0.0,1150.0,0.0,27320.0,-0.0,False,74330.0,361.15809229113415
2023-09-13,NER,16070.0,32619.999999999996,0.0,930.0,0.0,27450.0,-0.0,False,77070.0,363.1642922018944
2023-09-14,NER,17550.0,31290.0,0.0,1190.0,0.0,27700.0,270.0,False,78000.0,383.0899487179487
2023-09-15,NER,16410.0,31720.0,0.0,1320.0,0.0,28030.0,0.0,False,77480.0,368.8810015487868
2023-09-16,NER,13870.0,30020.0,0.0,970.0,0.0,27870.0,10.0,False,72740.0,358.25929337365955
2023-09-17,NER,13270.0,30410.0,0.0,210.0,0.0,27910.0,0.0,False,71800.0,354.9254874651811
2023-09-18,NER,11880.0,28890.0,0.0,720.0,0.0,27740.0,0.0,False,69230.0,347.53300592228805
2023-09-19,NER,13180.0,28950.0,0.0,780.0,0.0,25950.0,0.0,False,68860.0,355.9384693581179
2023-09-20,NER,15210.0,25300.0,0.0,680.0,0.0,25960.0,0.0,False,67150.0,394.36662695457926
