job_id,default_region,flexibility_window_hours,baseline_carbon_gco2e,spatial_region,spatial_saving_gco2e,temporal_day_offset,temporal_saving_gco2e,full_region,full_day_offset,full_saving_gco2e
eval-000,NR,336,2084.4120,NER,1118.1117,0,0.0000,NER,0,1118.1117
eval-001,NR,24,6616.7169,NER,3549.3120,0,0.0000,NER,0,3549.3120
eval-002,NER,72,1601.4082,NER,0.0000,0,0.0000,NER,0,0.0000
eval-003,NR,48,13455.6178,NER,7217.8071,0,0.0000,NER,0,7217.8071
eval-004,NR,48,2333.3890,NER,1251.6669,0,0.0000,NER,0,1251.6669
eval-005,WR,0,2357.4964,NER,1501.6121,0,0.0000,NER,0,1501.6121
eval-006,ER,336,3097.3944,NER,2289.8092,0,0.0000,NER,0,2289.8092
eval-007,SR,336,1058.1844,NER,603.9295,0,0.0000,NER,0,603.9295
eval-008,ER,336,8186.4718,NER,6052.0088,0,0.0000,NER,0,6052.0088
eval-009,SR,72,10338.7617,NER,5900.5629,0,0.0000,NER,0,5900.5629
eval-010,NER,0,3514.7246,NER,0.0000,0,0.0000,NER,0,0.0000
eval-011,ER,168,4983.7290,NER,3684.3188,0,0.0000,NER,0,3684.3188
eval-012,WR,24,4132.5848,NER,2632.2583,0,0.0000,NER,0,2632.2583
eval-013,NER,24,2372.1326,NER,0.0000,0,0.0000,NER,0,0.0000
eval-014,WR,24,9498.5635,NER,6050.1294,0,0.0000,NER,0,6050.1294
eval-015,NER,72,1310.2340,NER,0.0000,0,0.0000,NER,0,0.0000
eval-016,NR,168,10241.3188,NER,5493.6061,0,0.0000,NER,0,5493.6061
eval-017,NR,336,2806.3862,NER,1505.3902,0,0.0000,NER,0,1505.3902
eval-018,SR,48,8940.0248,NER,5102.2725,0,0.0000,NER,0,5102.2725
eval-019,SR,168,2603.6494,NER,1485.9610,0,0.0000,NER,0,1485.9610
eval-020,WR,48,1263.6925,NER,804.9115,0,0.0000,NER,0,804.9115
eval-021,NR,168,2572.3809,NER,1379.8660,0,0.0000,NER,0,1379.8660
eval-022,WR,168,2811.4955,NER,1790.7878,0,0.0000,NER,0,1790.7878
eval-023,ER,72,8967.9189,NER,6629.7088,0,0.0000,NER,0,6629.7088
eval-024,SR,168,533.6704,NER,304.5777,0,0.0000,NER,0,304.5777
eval-025,NR,0,2602.3311,NER,1395.9318,0,0.0000,NER,0,1395.9318
eval-026,ER,336,6529.1518,NER,4826.8027,0,0.0000,NER,0,4826.8027
eval-027,WR,24,14567.6992,NER,9278.9257,0,0.0000,NER,0,9278.9257
eval-028,ER,0,6748.7029,NER,4989.1102,0,0.0000,NER,0,4989.1102
eval-029,NR,0,3929.0081,NER,2107.5823,0,0.0000,NER,0,2107.5823
eval-030,SR,0,1932.7411,NER,1103.0587,0,0.0000,NER,0,1103.0587
eval-031,NR,0,7783.1344,NER,4174.9969,0,0.0000,NER,0,4174.9969
eval-032,WR,0,2987.3518,NER,1902.7998,0,0.0000,NER,0,1902.7998
eval-033,ER,336,17583.4480,NER,12998.9067,0,0.0000,NER,0,12998.9067
eval-034,WR,0,1760.2897,NER,1121.2201,0,0.0000,NER,0,1121.2201
eval-035,ER,168,329.8324,NER,243.8350,0,0.0000,NER,0,243.8350
eval-036,SR,24,2291.4438,NER,1307.7783,0,0.0000,NER,0,1307.7783
eval-037,NER,336,181.7371,NER,0.0000,0,0.0000,NER,0,0.0000
eval-038,ER,48,5782.8090,NER,4275.0543,0,0.0000,NER,0,4275.0543
eval-039,ER,0,6244.5835,NER,4616.4301,0,0.0000,NER,0,4616.4301
eval-040,NR,24,6666.8571,NER,3576.2080,0,0.0000,NER,0,3576.2080
eval-041,ER,336,1323.0162,NER,978.0655,0,0.0000,NER,0,978.0655
eval-042,NR,336,8943.4267,NER,4797.3961,0,0.0000,NER,0,4797.3961
eval-043,NR,48,2705.2796,NER,1451.1550,0,0.0000,NER,0,1451.1550
eval-044,SR,72,10954.3262,NER,6251.8794,0,0.0000,NER,0,6251.8794
eval-045,WR,24,3211.3882,NER,2045.5003,0,0.0000,NER,0,2045.5003
eval-046,WR,0,3748.2136,NER,2387.4323,0,0.0000,NER,0,2387.4323
eval-047,NER,24,3816.8168,NER,0.0000,0,0.0000,NER,0,0.0000
eval-048,ER,48,19315.5089,NER,14279.3664,0,0.0000,NER,0,14279.3664
eval-049,ER,168,10401.7255,NER,7689.6783,0,0.0000,NER,0,7689.6783
