date,region,coal_mwh,hydro_mwh,wind_mwh,solar_mwh,nuclear_mwh,gas_mwh,others_mwh,was_filled,total_generation,ci_gco2e_per_kwh
2023-07-12,WR,1408737.0,59780.0,130120.0,43200.0,46950.0,16670.0,17130.0,False,1722587.0,809.6020036723836
2023-07-13,WR,1396310.0,62100.0,110120.0,49230.0,46900.0,27530.0,17650.0,False,1709840.0,811.8552232957469
2023-07-14,WR,1416700.0,57850.0,123840.0,46560.0,46640.0,30330.0,17820.0,False,1739740.0,810.1129450377643
2023-07-15,WR,1400340.0,55380.0,178260.0,43940.0,46770.0,28130.0,17110.0,False,1769930.0,786.2628386433362
2023-07-16,WR,1336230.0,50320.0,152660.0,43420.0,46810.0,11300.0,16040.0,False,1656780.0,797.0420544670989
2023-07-17,WR,1375200.0,55870.0,116910.0,39160.0,46810.0,17800.0,16580.0,False,1668330.0,816.3362847877817
2023-07-18,WR,1353390.0,57270.0,143320.0,36100.0,46630.0,26050.0,15830.0,False,1678590.0,800.4077785522372
2023-07-19,WR,1320430.0,50120.0,154360.0,35670.0,49250.0,25850.0,13220.0,False,1648900.0,793.3733725513979
2023-07-20,WR,1365070.0,46150.0,143830.0,40670.0,51570.0,21500.0,12520.0,False,1681310.0,802.108512409966
2023-07-21,WR,1393510.0,45910.0,125560.0,39910.0,52220.0,20980.0,11760.0,False,1689850.0,813.6515566470396
2023-07-22,WR,1350670.0,57310.0,128610.0,31090.0,52040.0,24460.0,11310.0,False,1655490.0,806.0649765326277
2023-07-23,WR,1278550.0,64644.00000000001,103390.0,37980.0,52250.0,13830.0,10580.0,False,1561224.0,806.2913252678666
2023-07-24,WR,1329850.0,68570.0,129060.0,43840.0,48540.0,16280.000000000002,10360.0,False,1646500.0,795.2283917400547
2023-07-25,WR,1355550.0,64190.0,123150.0,39780.0,51930.0,18810.0,10990.0,False,1664400.0,802.8105052871906
2023-07-26,WR,1316600.0,63030.0,116060.0,47960.0,51930.0,18110.0,10620.0,False,1624310.0,798.9007757139956
