date,region,coal_mwh,hydro_mwh,wind_mwh,solar_mwh,nuclear_mwh,gas_mwh,others_mwh
2023-07-12,SR,612740.0,55100.0,160110.0,97650.0,44360.0,6300.0,66240.0
2023-07-13,SR,582950.0,55400.0,192070.0,102370.0,46300.0,6300.0,70600.0
2023-07-14,SR,565360.0,54900.0,215410.0,114830.0,46290.0,6300.0,76720.0
2023-07-15,SR,550590.0,62600.0,181630.0,109310.0,46240.0,6300.0,73350.0
2023-07-16,SR,565600.0,53200.0,169180.0,92810.0,46290.0,6500.0,71610.0
2023-07-17,SR,583420.0,57000.0,223400.0,90050.0,46190.0,6600.0,74480.0
2023-07-18,SR,578210.0,43600.0,271850.0,75980.0,46210.0,6700.0,74200.0
2023-07-19,SR,552940.0,60200.0,295610.0,73640.0,46340.0,6600.0,77210.0
2023-07-20,SR,547010.0,78900.0,294900.0,80830.0,46340.0,6600.0,68130.0
2023-07-21,SR,525710.0,79500.0,298390.0,76060.0,46350.0,6700.0,81560.0
2023-07-22,SR,522190.00000000006,63900.0,297920.0,82550.0,49790.0,6700.0,85220.0
2023-07-23,SR,496460.0,70700.0,284950.0,76870.0,59600.0,6600.0,83890.0
2023-07-24,SR,514460.00000000006,93500.0,263230.0,66470.0,61270.0,6800.0,82340.0
2023-07-25,SR,531650.0,83800.0,244590.0,59970.0,58950.0,6700.0,74850.0
2023-07-26,SR,513909.99999999994,88000.0,250530.0,55480.0,62810.0,6700.0,74110.0
2023-07-27,SR,472540.0,88600.0,255410.0,75760.0,63600.0,6100.0,84600.0
2023-07-28,SR,475290.0,81000.0,238200.0,101590.0,63700.0,4600.0,82180.0
2023-07-29,SR,480500.0,75100.0,243440.0,112320.0,63460.0,6200.0,74120.0
2023-07-30,SR,483800.0,73400.0,228680.0,111130.0,63510.0,6600.0,79890.0
2023-07-31,SR,484480.0,91900.0,246020.0,104630.0,63550.0,6500.0,80400.0
2023-08-01,SR,480950.0,76400.0,282860.0,105900.0,63560.0,6300.0,78810.0
2023-08-02,SR,497560.0,75300.0,276330.0,100630.0,63670.0,6200.0,72980.0
2023-08-03,SR,511130.0,79200.0,275310.0,101050.0,64819.99999999999,6200.0,78390.0
2023-08-04,SR,529060.0,93700.0,234900.0,115010.0,66250.0,6200.0,83240.0
2023-08-05,SR,520679.99999999994,92000.0,210480.0,128600.0,70350.0,6300.0,79500.0
2023-08-06,SR,499010.0,74200.0,206850.0,125820.0,70660.0,6300.0,71900.0
2023-08-07,SR,502690.0,107700.0,189190.0,112940.0,70680.0,6100.0,86530.0
2023-08-08,SR,499890.0,118900.0,157790.0,103330.0,69050.0,6100.0,85810.0
2023-08-09,SR,544980.0,113500.0,108350.0,115100.0,67940.0,5900.0,76290.0
2023-08-10,SR,604270.0,109000.0,77540.0,108460.0,69960.0,6200.0,74030.0
2023-08-11,SR,610080.0,112200.0,59220.0,117470.0,70600.0,6200.0,81890.0
2023-08-12,SR,556900.0,86100.0,134120.0,113560.0,70850.0,5900.0,83610.0
2023-08-13,SR,537740.0,69800.0,147780.0,124270.0,70640.0,6300.0,73790.0
2023-08-14,SR,580890.0,92000.0,126850.0,114130.0,70680.0,6200.0,77580.0
2023-08-15,SR,553090.0,95500.0,128840.0,124460.0,70710.0,6300.0,64890.0
2023-08-16,SR,585300.0,96600.0,128710.00000000001,125490.0,70880.0,6300.0,64830.0
2023-08-17,SR,613890.0,84400.0,193360.0,120660.0,70870.0,6400.0,58840.0
2023-08-18,SR,625510.0,75800.0,220110.0,100570.0,70800.0,6200.0,65850.0
2023-08-19,SR,605610.0,69400.0,227470.0,88920.0,70750.0,6300.0,64420.0
2023-08-20,SR,598370.0,66000.0,177720.0,119130.0,52790.0,6200.0,63820.0
2023-08-21,SR,620130.0,116100.0,104900.0,127990.0,46230.0,6200.0,69250.0
2023-08-22,SR,651130.0,114800.0,82930.0,116670.0,46370.0,6200.0,69360.0
2023-08-23,SR,645250.0,80400.0,116160.0,115170.0,46500.0,2600.0,73970.0
2023-08-24,SR,639770.0,79500.0,155910.0,123960.0,46380.0,6100.0,75500.0
2023-08-25,SR,663850.0,90900.0,135470.0,125050.0,46290.0,6100.0,69400.0
2023-08-26,SR,665680.0,89500.0,118010.0,113140.0,45220.0,6100.0,80430.0
2023-08-27,SR,624670.0,67500.0,133800.0,123680.0,46290.0,6200.0,81420.0
2023-08-28,SR,642350.0,73400.0,157950.0,128150.0,46230.0,6200.0,77840.0
2023-08-29,SR,672770.0,103100.0,106760.0,123370.0,46250.0,6200.0,80080.0
2023-08-30,SR,691200.0,120200.0,59520.0,115370.0,51040.0,6300.0,78630.0
2023-08-31,SR,711180.0,113500.0,54460.0,115690.0,61680.0,6300.0,79050.0
2023-09-01,SR,743200.0,111800.0,53510.0,117920.0,48220.0,5800.0,25360.0
2023-09-02,SR,702610.0,85400.0,122360.0,111660.0,46190.0,2500.0,87320.0
2023-09-03,SR,656430.0,53500.0,135800.0,93110.0,46110.0,5700.0,104780.0
2023-09-04,SR,635640.0,52900.0,228330.0,62380.0,46220.0,5700.0,101880.0
2023-09-05,SR,670730.0,60500.0,198390.0,54990.0,49090.0,5700.0,103440.0
2023-09-06,SR,641360.0,57700.0,195260.0,105170.0,51130.0,6400.0,100200.0
2023-09-07,SR,608660.0,52000.0,225080.0,98960.0,65200.0,6200.0,81340.0
2023-09-08,SR,600440.0,55800.0,229840.0,94800.0,75490.0,6300.0,75870.0
2023-09-09,SR,599950.0,53800.0,245270.0,103980.0,75820.0,6300.0,72020.0
2023-09-10,SR,551080.0,47200.0,248980.0,98490.0,75950.0,6200.0,69380.0
2023-09-11,SR,579500.0,65800.0,224130.0,97960.0,75910.0,6400.0,69170.0
2023-09-12,SR,620770.0,73200.0,190450.0,113170.0,75980.0,6500.0,69380.0
2023-09-13,SR,640340.0,75800.0,183590.0,115420.0,75970.0,6400.0,79650.0
2023-09-14,SR,684550.0,68900.0,191730.0,105310.0,75850.0,6300.0,68770.0
2023-09-15,SR,663260.0,59000.0,179330.0,111080.0,75860.0,6400.0,68990.0
2023-09-16,SR,614610.0,51900.0,199220.0,110520.0,75700.0,6000.0,68740.0
2023-09-17,SR,590380.0,49600.0,151430.0,110010.0,75830.0,6100.0,61080.0
2023-09-18,SR,593190.0,51100.0,137530.0,116780.0,75940.0,6300.0,61930.0
2023-09-19,SR,618460.0,66400.0,140620.0,117600.0,75800.0,6200.0,58070.0
2023-09-20,SR,636360.0,75500.0,116660.0,113680.0,75860.0,6300.0,62940.0
2023-09-21,SR,659600.0,77200.0,91580.0,92750.0,75780.0,6300.0,66090.0
2023-09-22,SR,636850.0,73100.0,64080.0,97850.0,76040.0,6200.0,60870.0
2023-09-23,SR,607590.0,59300.0,98730.0,113960.0,76000.0,5900.0,60060.0
